"GCF No","BGC Class"
1950,"NRPS"
1978,"NRPS"
1995,"Others"
1917,"NRPS"
1910,"NRPS"
1911,"NRPS"
1992,"Others"
1978,"Others"
1924,"PKSother"
1927,"Others"
2006,"NRPS"
1964,"NRPS"
1969,"NRPS"
2007,"Others"
